Business Unit,Name,Open,F=Fulfillment,Address,City,State/Province,Country,Zip, SqFt,Month,Year,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country
"Amazon.com dedc, LLC ",CAE3,Y,F,222 Old Wire Rd,West Columbia,South Carolina,USA,29172-2862,"120,000",February,2017,33.897468,-81.032171,1,range_interpolation,222,Old Wire Rd,West Columbia,SC,Lexington County,29172,US
"Amazon.com.dedc, Inc.",GSP1,Y,F,402 John Dodd Rd,Spartanburg,South Carolina,USA,29303-6312,"1,016,110",September,2012,35.009142,-82.028872,1,range_interpolation,402,John Dodd Rd,Spartanburg,SC,Spartanburg County,29303,US
"Amazon.com.dedc, LLC",BNA1,Y,F,14840 Central Pike,Lebanon,Tennessee,USA,37090-8119,"449,000",September,2011,36.132693,-86.405225,1,range_interpolation,14840,Central Pike,Lebanon,TN,Wilson County,37090,US
"Amazon.com.dedc, Inc.",BNA2,Y,F,500 Duke Dr,Lebanon,Tennessee,USA,37087-8123,"1,200,000",February,2013,36.267266,-86.291167,0.33,place,,,Lebanon,TN,Wilson County,37087,US
"Amazon.com.dedc, Inc.",BNA3,Y,F,2020 Joe B Jackson Pkwy,Murfreesboro,Tennessee,USA,37127-7792,"1,000,000",September,2012,35.778913,-86.364941,1,rooftop,2020,Joe B Jackson Pkwy,Murfreesboro,TN,Rutherford County,37127,US
"Amazon.com dedc, LLC ",CHA1,Y,F,7200 Discovery Drive,Chattanooga,Tennessee,USA,37416-1749 ,"1,020,000",September,2011,35.068587,-85.142778,1,rooftop,7200,Discovery Dr,Chattanooga,TN,Hamilton County,37416,US
"Amazon.com dedc, LLC ",CHA2,Y,F,225 Infinity Dr NW,Charleston,Tennessee,USA,37310-1400,"1,200,000",September,2011,35.224608,-84.717221,0.33,place,,,Charleston,TN,Bradley County,37310,US
Amazon.com.kydc LLC,DFW6,Y,F,940 W. Bethel Road  ,Coppell,Texas,USA,75019-4424,"1,000,000",October,2013,32.955127,-97.022243,1,range_interpolation,940,W Bethel Rd,Coppell,TX,Dallas County,75019,US
Amazon.com.kydc LLC,DFW7,Y,F,700 Westport Parkway,(Haslet) Fort Worth,Texas,USA,76177-4513,"1,100,000",October,2013,32.972175,-97.312385,0.8,street_center,,Westport Pkwy,Fort Worth,TX,Tarrant County,76177,US
Amazon.com.kydc LLC,FTW3/FTW4,Y,F,15201 Heritage Parkway,Fort Worth,Texas,USA,76177-2517,"1,000,000",,2016,32.990381,-97.305428,0.8,street_center,,Heritage Pkwy,Fort Worth,TX,Denton County,76177,US
Amazon.com.kydc LLC,FTW1,Y,F,33333 Lyndon B Johnson Freeway,Dallas,Texas,USA,75241-7203,"500,000",October,2015,32.654813,-96.750428,0.8,range_interpolation,33333,Lyndon B Johnson Fwy,Dallas,TX,Dallas County,75241,US
Amazon.com.kydc LLC,XUSB,Y,F,14900 Frye Road,Fort Worth,Texas,USA,76155,"494,990",July,2014,32.818379,-97.04308,1,rooftop,14900,Frye Rd,Fort Worth,TX,Tarrant County,76155,US
Amazon.com.kydc LLC,SAT1,Y,F,6000 Enterprise Avenue,Schertz,Texas,USA,78154-1461,"1,260,000",Fall,2013,29.593247,-98.290351,0.8,street_center,,Enterprise Ave,Schertz,TX,Guadalupe County,78154,US
Amazon.com.kydc LLC,SAT2,Y,F,1401 East McCarty Lane,San Marcos,Texas,USA,78666-8969,"855,000",September,2016,29.857833,-97.993268,0.8,street_center,,Co Rd 233,San Marcos,TX,Hays County,78666,US
Amazon.com.kydc LLC,HOU2,N,F,10550 Ella Street,Houston,Texas,USA,77038-2324,"855,000",Q4,2017,29.907799,-95.431112,0.8,street_center,,Ella Blvd,Houston,TX,Harris County,77038,US
Amazon.com.kydc LLC,HOU3,N,F,Woods Road and Interstate 10,Katy,Texas,USA,77423,"1,000,000",,2018,29.752763,-95.920591,1,street_center,,Woods Rd,Brookshire,TX,Waller County,77423,US
Amazon.com.kydc LLC,FTW2,Y,F,2701 W. Bethel Road,Coppell (Tarrant),Texas,USA,75261-4015 ,"1,000,000",Q4,2016,32.954393,-96.997113,0.8,street_center,,W Bethel Rd,Coppell,TX,Dallas County,75019,US
Amazon.com.kydc LLC,,N,F,980 Bethel Road,Coppell,Texas,USA,75019,"1,000,000",,2017,32.955123,-97.022441,1,range_interpolation,980,W Bethel Rd,Coppell,TX,Dallas County,75019,US
Amazon.com.kydc LLC,SLC1,N,F,,Salt Lake City,Utah,USA,,"855,000",,2018,40.756095,-111.900719,1,place,,,Salt Lake City,UT,Salt Lake County,84101,US
Amazon.com.kydc LLC,RIC1,Y,F,5000 Commerce Way,Petersburg,Virginia,USA,23803-6917,"1,100,000",October,2012,37.194724,-77.493399,1,rooftop,5000,Commerce Way,Petersburg,VA,Dinwiddie County,23803,US
"Amazon.com.dedc, Inc.",RIC2,Y,F,1901 Meadowville Technology Parkway,Chester,Virginia,USA,23836-2841,"1,200,000",October,2012,37.351112,-77.326859,1,rooftop,1901,Meadowville Technology Pkwy,Chester,VA,Chesterfield County,23836,US
"Amazon.com.dedc, Inc.",,N,F,,Clear Brook,Virginia,USA,22624,"1,000,000",,2018,39.271865,-78.099763,1,place,,,Clear Brook,VA,Frederick County,22624,US
"Amazon.com.dedc, LLC. ","BFI1/BFIX",Y,F,1800 140th Avenue E.,Sumner,Washington,USA,98390-9624,"492,000",June,2011,47.241154,-122.243434,1,rooftop,1800,140th Ave E,Sumner,WA,Pierce County,98390,US
"Amazon.com.dedc, Inc.",BFI3,Y,F,2700 Center Drive,Dupont,Washington,USA,98327-9607,"1,000,000",February,2015,47.111583,-122.63888,1,rooftop,2700,Center Dr,Dupont,WA,Pierce County,98327,US
"Amazon.com.dedc, Inc.",BFI4,Y,F,21005 64th Ave. S,Kent,Washington,USA,98032-2423,"800,000",March,2016,47.414393,-122.25781,1,rooftop,21005,64th Ave S,Kent,WA,King County,98032,US
"Amazon.com.dedc, Inc.","MKE1/MKE7",Y,F,3501 120th Ave,Kenosha,Wisconsin,USA,53144-7502,"1,000,000",June,2015,42.605819,-87.951559,1,range_interpolation,3501,120th Ave,Kenosha,WI,Kenosha County,53144,US
