Business Unit,Name,Open,F=Fulfillment,Address,City,State,Country,Zip, SqFt ,Month,Year
"Amazon.com.dedc, LLC","AVP2/
AVP3",Y,F,298 1st Avenue,Gouldsboro,Pennsylvania,USA,18424-9464," 1,250,000 ",November,2010
"Amazon.com.dedc, Inc.",PHL6,Y,F,675 Allen Rd. ,Carlisle,Pennsylvania,USA,17015-7788 ," 1,206,500 ",August,2010
"Amazon.com.dedc, Inc.",ABE4,Y,F,1610 Van Buren Road,Easton,Pennsylvania,USA,18045-7807," 1,106,442 ",November,2016
"Amazon.com dedc, LLC ",CAE1,Y,F,4400 12 Street Extension,West Columbia (Cayce),South Carolina,USA,29172-3300," 1,250,000 ",October,2011
"Amazon.com.dedc, Inc.",GSP1,Y,F,402 John Dodd Rd,Spartanburg,South Carolina,USA,29303-6312," 1,016,110 ",September,2012
"Amazon.com.dedc, Inc.",BNA2,Y,F,500 Duke Dr,Lebanon,Tennessee,USA,37087-8123," 1,200,000 ",February,2013
"Amazon.com dedc, LLC ",CHA2,Y,F,225 Infinity Dr NW,Charleston,Tennessee,USA,37310-1400," 1,200,000 ",September,2011
"Amazon.com dedc, LLC ",CHA1,Y,F,7200 Discovery Drive,Chattanooga,Tennessee,USA,37416-1749 ," 1,020,000 ",September,2011
"Amazon.com.dedc, Inc.",BNA3,Y,F,2020 Joe B Jackson Pkwy,Murfreesboro,Tennessee,USA,37127-7792," 1,000,000 ",September,2012
Amazon.com.kydc LLC,SAT1,Y,F,6000 Enterprise Avenue,Schertz,Texas,USA,78154-1461," 1,260,000 ",Fall,2013
Amazon.com.kydc LLC,DFW7,Y,F,700 Westport Parkway,(Haslet) Fort Worth,Texas,USA,76177-4513," 1,100,000 ",October,2013
Amazon.com.kydc LLC,DFW6,Y,F,940 W. Bethel Road  ,Coppell,Texas,USA,75019-4424," 1,000,000 ",October,2013
Amazon.com.kydc LLC,FTW3/FTW4,Y,F,15201 Heritage Parkway,Fort Worth,Texas,USA,76177-2517," 1,000,000 ",,2016
Amazon.com.kydc LLC,HOU3,N,F,Woods Road and Interstate 10,Katy,Texas,USA,77423," 1,000,000 ",,2018
Amazon.com.kydc LLC,FTW2,Y,F,2701 W. Bethel Road,Coppell (Tarrant),Texas,USA,75261-4015 ," 1,000,000 ",Q4,2016
Amazon.com.kydc LLC,,N,F,980 Bethel Road,Coppell,Texas,USA,75019," 1,000,000 ",,2017
Amazon.com.kydc LLC,SAT2,Y,F,1401 East McCarty Lane,San Marcos,Texas,USA,78666-8969," 855,000 ",September,2016
Amazon.com.kydc LLC,HOU2,N,F,10550 Ella Street,Houston,Texas,USA,77038-2324," 855,000 ",Q4,2017
Amazon.com.kydc LLC,SLC1,N,F,,Salt Lake City,Utah,USA,," 855,000 ",,2018
"Amazon.com.dedc, Inc.",RIC2,Y,F,1901 Meadowville Technology Parkway,Chester,Virginia,USA,23836-2841," 1,200,000 ",October,2012
Amazon.com.kydc LLC,RIC1,Y,F,5000 Commerce Way,Petersburg,Virginia,USA,23803-6917," 1,100,000 ",October,2012
"Amazon.com.dedc, Inc.",,N,F,,Clear Brook,Virginia,USA,22624," 1,000,000 ",,2018
"Amazon.com.dedc, Inc.",BFI3,Y,F,2700 Center Drive,Dupont,Washington,USA,98327-9607," 1,000,000 ",February,2015
"Amazon.com.dedc, Inc.","MKE1/
MKE7",Y,F,3501 120th Ave,Kenosha,Wisconsin,USA,53144-7502," 1,000,000 ",June,2015
